CORTLANDT ST,"({'lat': 40.71100560000001, 'lng': -74.010763}, 'Cortlandt Street Station, New York, NY 10006, USA')"
JUNCTION BLVD,"({'lat': 40.7446367, 'lng': -73.86781959999999}, 'Junction Blvd, Queens, NY, USA')"
PAVONIA/NEWPORT,"({'lat': 40.7266961, 'lng': -74.0361252}, 'Newport, Jersey City, NJ 07310, USA')"
NOSTRAND AV,"({'lat': 40.6414346, 'lng': -73.9485729}, 'Nostrand Ave, Brooklyn, NY, USA')"
WHITEHALL S-FRY,"({'lat': 40.6572331, 'lng': -75.4985521}, 'Whitehall, PA, USA')"
161/YANKEE STAD,"({'lat': 40.8279249, 'lng': -73.92580099999999}, '161 St - Yankee Stadium, East 161st St, The Bronx, NY 10451, USA')"
36 ST,"({'lat': 40.6545065, 'lng': -74.0042335}, '36 Street Station, Brooklyn, NY 10012, USA')"
WORLD TRADE CTR,"({'lat': 42.3487288, 'lng': -71.0422743}, 'World Trade Center, Boston, MA 02210, USA')"
COURT SQ,"({'lat': 40.7467885, 'lng': -73.944548}, 'Court Sq, Queens, NY 11101, USA')"
PARKCHESTER,"({'lat': 40.8382522, 'lng': -73.8566087}, 'Parkchester, The Bronx, NY 10462, USA')"
34 ST-HUDSON YD,"({'lat': 40.7549713, 'lng': -74.0010084}, '34th Street-Hudson Yards Subway Station, 380-394 11th Ave, New York, NY 10001, USA')"
MYRTLE-WYCKOFF,"({'lat': 40.699686, 'lng': -73.9117713}, 'Myrtle-Wyckoff Avenues Subway Station, Brooklyn, NY 11237, USA')"
2 AV,"({'lat': 40.7234127, 'lng': -73.9902885}, '2 Avenue Station, New York, NY 10002, USA')"
135 ST,"({'lat': 40.817894, 'lng': -73.947647}, '135 Street Station, New York, NY 10030, USA')"
103 ST-CORONA,"({'lat': 40.7498268, 'lng': -73.862746}, '103 St-Corona Plaza Station, Queens, NY 11368, USA')"
ASTOR PL,"({'lat': 40.7300526, 'lng': -73.992649}, 'Astor Pl, New York, NY 10003, USA')"
96 ST-2 AVE,"({'lat': 40.7834854, 'lng': -73.9476586}, '96 St & 2 Avenue, New York, NY 10128, USA')"
FLATBUSH AV-B.C,"({'lat': 40.3949386, 'lng': -80.0184865}, 'Flatbush Ave, Pittsburgh, PA 15226, USA')"
FRANKLIN AV,"({'lat': 40.670682, 'lng': -73.958131}, 'Franklin Avenue, Brooklyn, NY 11225, USA')"
82 ST-JACKSON H,"({'lat': 40.75769409999999, 'lng': -73.8857407}, '82nd St, Queens, NY, USA')"
61 ST WOODSIDE,"({'lat': 40.7457078, 'lng': -73.90290399999999}, '61 St-Woodside, Queens, NY 11377, USA')"
79 ST,"({'lat': 40.7736341, 'lng': -73.955834}, 'E 79th St, New York, NY 10075, USA')"
111 ST,"({'lat': 40.69738419999999, 'lng': -73.8363267}, '111 Street Station, Queens, NY 11418, USA')"
FORDHAM RD,"({'lat': 40.8595729, 'lng': -73.8874273}, 'E Fordham Rd, The Bronx, NY, USA')"
JAMAICA 179 ST,"({'lat': 40.7126442, 'lng': -73.7838184}, 'Jamaica - 179 St, Queens, NY 11432, USA')"
QUEENS PLAZA,"({'lat': 40.7509846, 'lng': -73.9402762}, 'Queens Plaza N, Queens, NY 11101, USA')"
ASTORIA DITMARS,"({'lat': 40.7750119, 'lng': -73.91211}, 'Ditmars Blvd Station, Queens, NY 11105, USA')"
30 AV,"({'lat': 40.7668516, 'lng': -73.921313}, '30 Avenue Station, Queens, NY 11102, USA')"
UTICA AV,"({'lat': 40.6793738, 'lng': -73.9306335}, 'Utica Av, Fulton St, Brooklyn, NY 11233, USA')"
CONEY IS-STILLW,"({'lat': 36.118796, 'lng': -97.069206}, '223 S Washington St, Stillwater, OK 74074, USA')"
